PlayerId,Name,rotoName,
2583639,E. Payton,Elfrid Payton,
3136485,E. Sumner,Edmond Sumner,
4239,E. Turner,Evan Turner,
4065651,F. Jackson,Frank Jackson,
2579294,F. Kaminsky,Frank Kaminsky,
3929325,F. Korkmaz,Furkan Korkmaz,
3059315,F. Mason III,Frank Mason,
4230547,F. Ntilikina,Frank Ntilikina,
2991230,F. VanVleet,Fred VanVleet,
3135045,G. Allen,Grayson Allen,
3032977,G. Antetokounmpo,Giannis Antetokounmpo,
4348700,G. Bitadze,Goga Bitadze,
3132042,G. Clark,Gary Clark,
2534781,G. Dieng,Gorgui Dieng,
3423,G. Dragic,Goran Dragic,
2999547,G. Harris,Gary Harris,
4249,G. Hayward,Gordon Hayward,
3438,G. Hill,George Hill,
3913180,G. Mathews,Garrison Mathews,
2990969,G. Niang,Georges Niang,
3134903,G. Payton II,Gary Payton II,
2991039,G. Robinson III,Glenn Robinson III,
4023,G. Temple,Garrett Temple,
4277843,G. Trent Jr.,Gary Trent Jr.,
3137259,G. Vincent,Gabe Vincent,
4066218,G. Williams,Grant Williams,
6578,H. Barnes,Harrison Barnes,
4080610,H. Diallo,Hamidou Diallo,
3906522,H. Ellenson,Henry Ellenson,
4065649,H. Giles III,Harry Giles III,
4262,H. Whiteside,Hassan Whiteside,
4348697,I. Bonga,Isaac Bonga,
4397205,I. Brazdeikis,Ignas Brazdeikis,
4222252,I. Hartenstein,Isaiah Hartenstein,
2774,I. Mahinmi,Ian Mahinmi,
4066392,I. Roby,Isaiah Roby,
6468,I. Shumpert,Iman Shumpert,
4305,I. Smith,Ish Smith,
6472,I. Thomas,Isaiah Thomas,
4017837,I. Zubac,Ivica Zubac,
4066328,J. Allen,Jarrett Allen,
2982340,J. Anderson,Justin Anderson,
3064427,J. Bell,Jordan Bell,
3155533,J. Bolden,Jonah Bolden,
4066212,J. Bone,Jordan Bone,
3912292,J. Brantley,Jarrell Brantley,
3917376,J. Brown,Jaylen Brown,
3934672,J. Brunson,Jalen Brunson,
6430,J. Butler,Jimmy Butler,
3133635,J. Carter,Jevon Carter,
3058269,J. Chealey,Joe Chealey,
2528426,J. Clarkson,Jordan Clarkson,
3908845,J. Collins,John Collins,
6581,J. Crowder,Jae Crowder,
4277928,J. Culver,Jarrett Culver,
3201,J. Dudley,Jared Dudley,
3059318,J. Embiid,Joel Embiid,
2579321,J. Ennis III,James Ennis III,
3934621,J. Evans,Jacob Evans,
2991070,J. Grant,Jerami Grant,
3001308,J. Gray,Josh Gray,
2327577,J. Green,JaMychalﾠGreen,
3209,J. Green,JeffﾠGreen,
2596112,J. Green,Javonte Green,
3992,J. Harden,James Harden,
4066248,J. Harper,Jared Harper,
2528794,J. Harris,Joe Harris,
3062679,J. Hart,Josh Hart,
4397077,J. Hayes,Jaxson Hayes,
6592,J. Henson,John Henson,
4017839,J. Hernangomez,Juancho Hernangomez,
4395688,J. Hoard,Jaylen Hoard,
3995,J. Holiday,JrueﾠHoliday,
2284101,J. Holiday,JustinﾠHoliday,
2968436,J. Ingles,Joe Ingles,
4065654,J. Isaac,Jonathan Isaac,
3138156,J. Jackson,Justin Jackson,
4066297,J. Jackson,Josh Jackson,
4277961,J. Jackson Jr.,Jaren Jackson,
3914058,J. James,Justin James,
3999,J. Johnson,James Johnson,
3134932,J. Konchar,John Konchar,
6603,J. Lamb,Jeremy Lamb,
2982268,J. Layman,Jake Layman,
4423887,J. Lecque,Jalen Lecque,
4064727,J. Magette,Josh Magette,
3907788,J. Martin,Jeremiah Martin,
4066731,J. McDaniels,Jalen McDaniels,
3452,J. McGee,JaVale McGee,
3134916,J. McLaughlin,Jordan McLaughlin,
2531797,J. McRae,Jordan McRae,
4279888,J. Morant,Ja Morant,
3934721,J. Morgan,Juwan Morgan,
3059306,J. Motley,JohnathanﾠMotley,
3936299,J. Murray,Jamal Murray,
4278541,J. Nowell,Jaylen Nowell,
3135048,J. Okafor,Jahlil Okafor,
4065663,J. Okogie,Josh Okogie,
6497,J. Pargo,Jeremy Pargo,
3056600,J. Parker,Jabari Parker,
3912332,J. Patton,Justin Patton,
3134908,J. Poeltl,Jakob Poeltl,
4277956,J. Poole,Jordan Poole,
3064514,J. Randle,Julius Randle,
3912278,J. Reaves,Josh Reaves,
3024,J. Redick,J.J. Redick,
2581190,J. Richardson,Josh Richardson,
3945566,J. Robinson,Justin Robinson,
3943606,J. Robinson,Jerome Robinson,
2608891,J. Sampson,JaKarr Sampson,
4065648,J. Tatum,Jayson Tatum,
4015,J. Teague,Jeff Teague,
4401416,J. Toscano-Anderson,Juan Toscano-Anderson,
2579293,J. Uthoff,Jarrod Uthoff,
6477,J. Valanciunas,Jonas Valanciunas,
4278077,J. Vanderbilt,Jarred Vanderbilt,
3064528,J. Williams,Johnathan Williams,
3135047,J. Winslow,Justise Winslow,
3911566,J. Wright-Foreman,Justing Wright-Foreman,
3055,J.J. Barea,J.J. Barea,
3136483,J.P. Macura,J.P. Macura,
3134880,K. Allen,Kadeem Allen,
2993874,K. Anderson,Kyle Anderson,
4066490,K. Antetokounmpo,Kostas Antetokounmpo,
3136779,K. Bates-Diop,Keita Bates-Diop,
6637,K. Bazemore,Kent Bazemore,
2578240,K. Birch,Khem Birch,
4065635,K. Bowman,Ky Bowman,
2581018,K. Caldwell-Pope,Kentavious Caldwell-Pope,
2991139,K. Dunn,Kris Dunn,
4065730,K. Guy,Kyle Guy,
3143565,K. Hervey,Kevin Hervey,
4066372,K. Huerter,Kevin Huerter,
6442,K. Irving,Kyrie Irving,
4395723,K. Johnson,Keldon Johnson,
4278075,K. Knox II,Kevin Knox,
2011,K. Korver,Kyle Korver,
3134907,K. Kuzma,Kyle Kuzma,
6450,K. Leonard,Kawhi Leonard,
3155535,K. Looney,Kevon Looney,
3449,K. Love,Kevin Love,
3012,K. Lowry,Kyle Lowry,
3133596,K. Martin,Kelan Martin,
6609,K. Middleton,Khris Middleton,
3056247,K. Nunn,Kendrick Nunn,
6615,K. O'Quinn,Kyle O'Quinn,
4278521,K. Okpala,KZ Okpala,
2489663,K. Olynyk,Kelly Olynyk,
3133603,K. Oubre Jr.,Kelly Oubre,
4397140,K. Porter Jr.,Kevin Porter Jr.,
3102531,K. Porzingis,Kristaps Porzingis,
3912334,K. Thomas,Khyri Thomas,
3136195,K. Towns,Karl-Anthony Towns,
6479,K. Walker,Kemba Walker,
3133626,K. Williams,Kenrich Williams,
2983,L. Aldridge,LaMarcus Aldridge,
4066421,L. Ball,Lonzo Ball,
3945274,L. Doncic,Luka Doncic,
4397020,L. Dort,Luguentz Dort,
2530572,L. Galloway,Langston Galloway,
1966,L. James,LeBron James,
3913174,L. Kennard,Luke Kennard,
4397103,L. King,Louis King,
3064560,L. Kornet,Luke Kornet,
4066336,L. Markkanen,Lauri Markkanen,
2580365,L. Nance Jr.,Larry Nance Jr.,
4423309,L. Samanic,Luka Samanic,
3914044,L. Shamet,Landry Shamet,
4277890,L. Walker IV,Lonnie Walker IV,
2799,L. Williams,Lou Williams,
4277848,M. Bagley III,Marvin Bagley III,
4277919,M. Bamba,Mohamed Bamba,
3907822,M. Beasley,Malik Beasley,
3190,M. Belinelli,Marco Belinelli,
4612593,M. Bolden,Marques Bolden,
4066383,M. Bridges,MilesﾠBridges,
3147657,M. Bridges,MikalﾠBridges,
2566769,M. Brogdon,Malcolm Brogdon,
4397126,M. Brown,Moses Brown,
2596108,M. Carter-Williams,Michael Carter-Williams,
3907487,M. Chriss,Marquese Chriss,
3195,M. Conley,Mike Conley,
2489716,M. Dellavedova,Matthew Dellavedova,
2991255,M. Frazier,Michael Frazier,
3913546,M. Frazier Jr.,Melvin Frazier Jr.,
4066636,M. Fultz,Markelle Fultz,
3206,M. Gasol,Marc Gasol,
4230554,M. Guduric,Marko Guduric,
6591,M. Harkless,Maurice Harkless,
2991055,M. Harrell,Montrezl Harrell,
2995706,M. Hezonja,Mario Hezonja,
4065660,M. Kabengele,Mfiondu Kabengele,
6601,M. Kidd-Gilchrist,Michael Kidd-Gilchrist,
2960236,M. Kleber,Maxi Kleber,
6605,M. Leonard,Meyers Leonard,
2580980,M. Miller,Malcolm Miller,
4066262,M. Monk,Malik Monk,
3149036,M. Mooney,Matt Mooney,
3059310,M. Morris,MonteﾠMorris,
6461,M. Morris,MarkieffﾠMorris,
6462,M. Morris Sr.,MarcusﾠMorris,
3936298,M. Mulder,Mychal Mulder,
2490089,M. Muscala,Mike Muscala,
3907359,M. Newman,Malik Newman,
4066851,M. Oni,Miye Oni,
2488653,M. Plumlee,Mason Plumlee,
4278104,M. Porter Jr.,Michael Porter Jr.,
4351852,M. Robinson,Mitchell Robinson,
6622,M. Scott,Mike Scott,
3138201,M. Shayok,Marial Shayok,
2990992,M. Smart,Marcus Smart,
4065778,M. Strus,Max Strus,
3059311,M. Thomas,Matt Thomas,
3907498,M. Thybulle,Matisse Thybulle,
3133628,M. Turner,Myles Turner,
3150844,M. Wagner,MoritzﾠWagner,
3150844,M. Wagner,MoeﾠWagner,
2797,M. Williams,Marvin Williams,
4278039,N. Alexander-Walker,Nickeil Alexander-Walker,
3416,N. Batum,Nicolas Batum,
4269,N. Bjelica,Nemanja Bjelica,
4278067,N. Claxton,Nicolas Claxton,
3112335,N. Jokic,Nikola Jokic,
