"","PlayerId","Name","Salary","Team","Position.x","Opp","IsHome","PMIN","Points","Ceil","Floor","O.U","Total","Position.y","averageMinutes","cumPercAttemptedPerMinute","lastGameAttemptedPerMin","lastYeartwoPerc","cumTwoPerc","lastYearThreePerc","cumThreePerc","lastYearThreeProp","cumThreeProp","cumFtMadePerFgAttempted","lastYearFgAttemptedPerGame","lastYearSetOfFtsPerFg","cumSetOfFtsPerFgAttempted","lastYearExtraProb","cumExtraProb","lastYearFtPerc","cumFtPerc","LastYearFTAttempted","LastYearNumbGames","gamesPlayedSeason","cumFgAttemptedPerGame","timestamp"
"1",1966,"LeBron James",10000,"LAL","SF\/PF}","CLE","UNKNOWN",37,48.33,61.34,36.54,NA,NA,"SF",36.375,0.00649932765575975,0.00673281360737066,0.623711340206186,0.543103448275862,0.356984478935698,0.206896551724138,0.367563162184189,0.333333333333333,0.172413793103448,21.9107142857143,0.121434392828036,0.109195402298851,0.535714285714286,0.375,0.753048780487805,0.731707317073171,328,56,8,21.75,1667757481.56868
"2",3005,"Rudy Gay",4000,"UTA","PF\/SF}","LAC","UNKNOWN",12,9.29,15.4,4.16,NA,NA,"SF",15.4285714285714,0.00323094998321584,0.00194174757281553,0.494318181818182,0.4375,0.344827586206897,0.294117647058824,0.535620052770449,0.515151515151515,0.0606060606060606,6.89090909090909,0.0923482849604222,0.0606060606060606,0.163636363636364,0,0.784810126582278,0.5,79,55,7,4.71428571428571,1667757481.56868
"3",3195,"Mike Conley",5900,"UTA","PG}","LAC","UNKNOWN",32,29.79,41.4,20.2,NA,NA,"PG",30.6666666666667,0.00336930703294434,0.00344503601628562,0.462102689486553,0.388888888888889,0.396355353075171,0.411764705882353,0.517688679245283,0.586206896551724,0.183908045977011,10.8717948717949,0.0966981132075472,0.103448275862069,0.166666666666667,0.333333333333333,0.796610169491525,0.761904761904762,177,78,9,9.66666666666667,1667757481.56868
"4",3244,"Thaddeus Young",3800,"TOR","PF}","CHI","UNKNOWN",4,3.79,7.85,1.08,NA,NA,"PF",7.5,0.00322780881440099,0.00284090909090909,0.561702127659575,0.625,0.327272727272727,0.2,0.189655172413793,0.384615384615385,0.0769230769230769,5,0.0758620689655172,0.0769230769230769,0.155172413793103,0,0.452830188679245,0.5,53,58,6,2.16666666666667,1667757481.56868
"5",3416,"Nicolas Batum",3800,"LAC","SF\/PF}","UTA","UNKNOWN",19,14.16,22.4,7.47,NA,NA,"PF",17.4444444444444,0.0022314367545847,0.001875,0.6,0.666666666666667,0.398550724637681,0.35,0.696969696969697,0.689655172413793,0.172413793103448,6.6,0.0378787878787879,0.103448275862069,0.166666666666667,0.111111111111111,0.65,0.714285714285714,40,60,9,3.22222222222222,1667757481.56868
"6",3423,"Goran Dragic",4200,"CHI","PG}","TOR","UNKNOWN",16,11.79,18.16,6.13,NA,NA,"PG",17.5,0.00499753411145816,0.00570703868103995,0.5,0.363636363636364,0.276315789473684,0.5,0.408602150537634,0.421052631578947,0.131578947368421,7.15384615384615,0.0860215053763441,0.0921052631578947,0.115384615384615,0,0.828571428571429,0.714285714285714,35,26,10,7.6,1667757481.56868
"7",3447,"Robin Lopez",3600,"CLE","C}","LAL","UNKNOWN",5,3.48,7.5,0,NA,NA,"C",10,0.00310421286031042,0,0.559585492227979,0.785714285714286,0.333333333333333,NA,0.0301507537688442,0,0,5.52777777777778,0.120603015075377,0,0.166666666666667,0.2,0.592592592592593,0,54,36,5,2.8,1667757481.56868
"8",3449,"Kevin Love",5600,"CLE","PF\/C}","LAL","UNKNOWN",15,18.35,26.71,10.96,NA,NA,"PF",19.75,0.00497673915395434,0.00536768652710682,0.487972508591065,0.523809523809524,0.395445134575569,0.4375,0.624031007751938,0.695652173913043,0.202898550724638,10.1842105263158,0.117571059431525,0.101449275362319,0.236842105263158,0.375,0.835,0.823529411764706,200,76,8,8.625,1667757481.56868
"9",3468,"Russell Westbrook",7400,"LAL","PG}","CLE","UNKNOWN",30,29.42,39.3,20.9,NA,NA,"PG",29.2857142857143,0.0048100883485615,0.00581636892397175,0.484210526315789,0.483870967741935,0.301526717557252,0.275862068965517,0.216171617161716,0.318681318681319,0.241758241758242,15.7402597402597,0.154290429042904,0.142857142857143,0.298701298701299,0.428571428571429,0.670025188916877,0.758620689655172,397,77,7,13,1667757481.56868
"10",3964,"Patrick Beverley",4800,"LAL","PG\/SG}","CLE","UNKNOWN",28,20.58,29.69,13.1,NA,NA,"PG",27.875,0.00160850068239423,0.000860585197934596,0.486363636363636,0.454545454545455,0.340659340659341,0.227272727272727,0.553752535496957,0.666666666666667,0.363636363636364,7.58461538461538,0.150101419878296,0.181818181818182,0.169230769230769,0,0.710691823899371,1,159,65,8,4.125,1667757481.56868
"11",3978,"DeMar DeRozan",9400,"CHI","SG\/SF}","TOR","UNKNOWN",35,36.77,47.03,26.74,NA,NA,"SF",33.8,0.00585587732617918,0.00769745649263722,0.516150740242261,0.515923566878981,0.328947368421053,0.266666666666667,0.0927960927960928,0.0872093023255814,0.476744186046512,19.9756097560976,0.178876678876679,0.244186046511628,0.475609756097561,0.7,0.8768,0.901098901098901,625,82,10,17.2,1667757481.56868
"12",4237,"John Wall",5400,"LAC","PG\/SG}","UTA","UNKNOWN",22,23.76,32.88,15.36,NA,NA,"PG",21.4285714285714,0.00622761409589833,0.00648148148148148,NA,0.547169811320755,NA,0.25,NA,0.311688311688312,0.181818181818182,NA,NA,0.12987012987013,NA,0.428571428571429,NA,0.608695652173913,NA,NA,7,11,1667757481.56868
"13",4251,"Paul George",9000,"LAC","SG\/SF}","UTA","UNKNOWN",35,42.2,54.92,30.66,NA,NA,"SG",35.125,0.00632183290148477,0.00526315789473684,0.462915601023018,0.545454545454545,0.360594795539033,0.355932203389831,0.407575757575758,0.401360544217687,0.210884353741497,20.625,0.113636363636364,0.108843537414966,0.28125,0.375,0.849056603773585,0.885714285714286,159,32,8,18.375,1667757481.56868
"14",6443,"Reggie Jackson",4700,"LAC","PG}","UTA","UNKNOWN",33,23.8,33.18,15.84,NA,NA,"PG",29.7777777777778,0.00423720324551738,0.00371621621621622,0.44,0.436363636363636,0.325714285714286,0.256410256410256,0.42,0.414893617021277,0.127659574468085,16.4473684210526,0.0608,0.0638297872340425,0.197368421052632,0.111111111111111,0.832335329341317,0.923076923076923,167,76,9,10.4444444444444,1667757481.56868
"15",6462,"Marcus Morris",5700,"LAC","PF\/SF}","UTA","UNKNOWN",33,28.36,38.63,18.83,NA,NA,"SF",29.8571428571429,0.00473519221250619,0.00428571428571429,0.477647058823529,0.574468085106383,0.369337979094077,0.4,0.403089887640449,0.426829268292683,0.0487804878048781,12.9454545454545,0.0941011235955056,0.0121951219512195,0.4,0.285714285714286,0.865384615384615,1,156,55,7,11.7142857142857,1667757481.56868
"16",6478,"Nikola Vucevic",8200,"CHI","C}","TOR","UNKNOWN",32,34.77,44.96,24.6,NA,NA,"C",31.6,0.00484333804314577,0.00481927710843373,0.537844036697248,0.465909090909091,0.313672922252011,0.4,0.299598393574297,0.338345864661654,0.210526315789474,15.9615384615385,0.0433734939759036,0.105263157894737,0.230769230769231,0.2,0.761904761904762,0.933333333333333,126,78,10,13.3,1667757481.56868
"17",6579,"Will Barton",4500,"WAS","SG\/SF}","MEM","UNKNOWN",32,27.59,37.75,17.91,NA,NA,"SF",23.6666666666667,0.00400585330162795,0.00507292327203551,0.498015873015873,0.390243902439024,0.366812227074236,0.40625,0.476091476091476,0.438356164383562,0.10958904109589,12.6578947368421,0.0634095634095634,0.0547945205479452,0.144736842105263,0.111111111111111,0.796992481203007,0.888888888888889,133,76,9,8.11111111111111,1667757481.56868
"18",6583,"Anthony Davis",10600,"LAL","PF\/C}","CLE","UNKNOWN",35,46.92,60.68,36.29,NA,NA,"PF",35.5714285714286,0.00547475838438763,0.00585197934595525,0.5712,0.557522123893805,0.185714285714286,0.230769230769231,0.100719424460432,0.103174603174603,0.206349206349206,17.375,0.162589928057554,0.111111111111111,0.45,0.571428571428571,0.713114754098361,0.8125,244,40,7,18,1667757481.56868
"19",2489663,"Kelly Olynyk",5500,"UTA","C\/PF}","LAC","UNKNOWN",26,25.6,35.04,17.37,NA,NA,"PF",27.1,0.00325708316286607,0.00323624595469256,0.526946107784431,0.54,0.336134453781513,0.59375,0.416083916083916,0.390243902439024,0.195121951219512,7.15,0.136363636363636,0.134146341463415,0.275,0.2,0.775280898876405,0.666666666666667,89,40,10,8.2,1667757481.56868
"20",2490620,"Robert Covington",4600,"LAC","PF\/SF}","UTA","UNKNOWN",15,13.6,21.45,7.06,NA,NA,"PF",17.2,0.00270747834017328,0.0016260162601626,0.509316770186335,0.666666666666667,0.376093294460641,0.307692307692308,0.680555555555556,0.684210526315789,0.315789473684211,7,0.0714285714285714,0.157894736842105,0.0833333333333333,0,0.846153846153846,1,78,72,5,3.8,1667757481.56868
