"","Name","Salary","Team","Position","Opp","IsHome","PMIN","Points","Ceil","Floor"
"61","Talen Horton-Tucker",4400,"UTA","SG\/SF}","LAC","UNKNOWN",16,13.66,21.13,7.47
"62","Robert Covington",4600,"LAC","PF\/SF}","UTA","UNKNOWN",15,13.6,21.45,7.06
"63","Goran Dragic",4200,"CHI","PG}","TOR","UNKNOWN",16,11.79,18.16,6.13
"64","Derrick Jones Jr.",3900,"CHI","SF\/PF}","TOR","UNKNOWN",15,10.85,17.66,5.55
"65","Austin Reaves",4400,"LAL","SF\/SG}","CLE","UNKNOWN",20,11.5,18.02,6.23
"66","Daniel Gafford",3700,"WAS","C}","MEM","UNKNOWN",10,9.27,15.45,4.38
"67","Amir Coffey",3700,"LAC","SF\/SG}","UTA","UNKNOWN",15,9.27,16.42,4.21
"68","Cedi Osman",4200,"CLE","SF\/PF}","LAL","UNKNOWN",13,9.99,16.37,4.57
"69","Matt Ryan",3500,"LAL","SF}","CLE","UNKNOWN",11,8.18,15.12,2.48
"70","Rudy Gay",4000,"UTA","PF\/SF}","LAC","UNKNOWN",12,9.29,15.4,4.16
"71","Terance Mann",4000,"LAC","SG\/SF}","UTA","UNKNOWN",13,8.92,14.89,4.21
"72","Wenyen Gabriel",4000,"LAL","PF}","CLE","UNKNOWN",11,8.25,13.1,3.88
"73","Juan Toscano-Anderson",3700,"LAL","PF}","CLE","UNKNOWN",13,7.34,12.58,2.88
"74","Walker Kessler",4300,"UTA","C}","LAC","UNKNOWN",10,8.39,14.42,3.93
"75","Isaac Okoro",3600,"CLE","SF\/SG}","LAL","UNKNOWN",10,4.58,9.43,1.35
"76","Thaddeus Young",3800,"TOR","PF}","CHI","UNKNOWN",4,3.79,7.85,1.08
"77","Robin Lopez",3600,"CLE","C}","LAL","UNKNOWN",5,3.48,7.5,0
"78","Dalano Banton",3600,"TOR","PG}","CHI","UNKNOWN",4,3.31,6.87,0.48
"79","Nickeil Alexander-Walker",4100,"UTA","SG\/SF}","LAC","UNKNOWN",4,3.16,7.37,0
"80","Jake LaRavia",3900,"MEM","PF}","WAS","UNKNOWN",4,2.98,7.75,0
"81","Xavier Tillman Sr.",3800,"MEM","PF}","WAS","UNKNOWN",3,2.49,6.85,0
